Year,Month,precipitation
1980,1,15.24
1980,2,30.23
1980,3,5.08
1980,4,0.51
1980,5,0.51
1980,6,10.92
1980,7,60.71
1980,8,54.10
1980,9,58.67
1980,10,1.78
1980,11,14.48
1980,12,2.29
1981,1,30.23
1981,2,10.67
1981,3,34.04
1981,4,10.41
1981,5,3.05
1981,6,77.72
1981,7,81.28
1981,8,15.49
1981,9,56.13
1981,10,25.15
1981,11,1.02
1981,12,33.53
1982,1,25.65
1982,2,10.67
1982,3,21.59
1982,4,4.57
1982,5,10.67
1982,6,4.32
1982,7,33.02
1982,8,72.64
1982,9,66.80
1982,10,0.00
1982,11,67.06
1982,12,65.28
1983,1,4.06
1983,2,24.89
1983,3,32.77
1983,4,9.40
1983,5,0.25
1983,6,0.00
1983,7,88.90
1983,8,4.57
1983,9,74.17
1983,10,89.41
1983,11,45.72
1983,12,27.43
1984,1,25.40
1984,2,0.00
1984,3,0.00
1984,4,3.56
1984,5,2.54
1984,6,21.34
1984,7,39.88
1984,8,78.49
1984,9,23.37
1984,10,55.88
1984,11,18.80
1984,12,78.74
1985,1,19.30
1985,2,35.81
1985,3,9.40
1985,4,26.16
1985,5,0.00
1985,6,38.61
1985,7,93.98
1985,8,81.28
1985,9,71.12
1985,10,106.43
1985,11,12.19
1985,12,7.62
1986,1,2.03
1986,2,24.89
1986,3,18.29
1986,4,0.00
1986,5,5.84
1986,6,13.46
1986,7,68.33
1986,8,62.99
1986,9,40.39
1986,10,62.74
1986,11,6.10
1986,12,11.18
1987,1,0.51
1987,2,23.88
1987,3,3.56
1987,4,17.78
1987,5,9.65
1987,6,7.62
1987,7,89.41
1987,8,53.59
1987,9,46.48
1987,10,12.70
1987,11,5.08
1987,12,49.53
1988,1,22.35
1988,2,33.27
1988,3,6.10
1988,4,22.61
1988,5,0.25
1988,6,24.38
1988,7,76.71
1988,8,156.46
1988,9,30.73
1988,10,61.72
1988,11,8.89
1988,12,16.26
1989,1,30.23
1989,2,5.84
1989,3,14.22
1989,4,0.00
1989,5,2.79
1989,6,0.00
1989,7,76.71
