Year,Month,Day,Hour,Precipitation
1989,6,4,1200,0.00
1989,6,4,1300,0.00
1989,6,4,1400,0.00
1989,6,4,1500,0.00
1989,6,4,1600,0.00
1989,6,4,1700,0.00
1989,6,4,1800,0.00
1989,6,4,1900,0.00
1989,6,4,2000,0.00
1989,6,4,2100,0.00
1989,6,4,2200,0.00
1989,6,4,2300,0.00
1989,6,4,2400,0.00
1989,6,5,100,0.00
1989,6,5,200,0.00
1989,6,5,300,0.00
1989,6,5,400,0.00
1989,6,5,500,0.00
1989,6,5,600,0.00
1989,6,5,700,0.00
1989,6,5,800,0.00
1989,6,5,900,0.00
1989,6,5,1000,0.00
1989,6,5,1100,0.00
1989,6,5,1200,0.00
1989,6,5,1300,0.00
1989,6,5,1400,0.00
1989,6,5,1500,0.00
1989,6,5,1600,0.00
1989,6,5,1700,0.00
1989,6,5,1800,0.00
1989,6,5,1900,0.00
1989,6,5,2000,0.00
1989,6,5,2100,0.00
1989,6,5,2200,0.00
1989,6,5,2300,0.00
1989,6,5,2400,0.00
1989,6,6,100,0.00
1989,6,6,200,0.00
1989,6,6,300,0.00
1989,6,6,400,0.00
1989,6,6,500,0.00
1989,6,6,600,0.00
1989,6,6,700,0.00
1989,6,6,800,0.00
1989,6,6,900,0.00
1989,6,6,1000,0.00
1989,6,6,1100,0.00
1989,6,6,1200,0.00
1989,6,6,1300,0.00
1989,6,6,1400,0.00
1989,6,6,1500,0.00
1989,6,6,1600,0.00
1989,6,6,1700,0.00
1989,6,6,1800,0.00
1989,6,6,1900,0.00
1989,6,6,2000,0.00
1989,6,6,2100,0.00
1989,6,6,2200,0.00
1989,6,6,2300,0.00
1989,6,6,2400,0.00
1989,6,7,100,0.00
1989,6,7,200,0.00
1989,6,7,300,0.00
1989,6,7,400,0.00
1989,6,7,500,0.00
1989,6,7,600,0.00
1989,6,7,700,0.00
1989,6,7,800,0.00
1989,6,7,900,0.00
1989,6,7,1000,0.00
1989,6,7,1100,0.00
1989,6,7,1200,0.00
1989,6,7,1300,0.00
1989,6,7,1400,0.00
1989,6,7,1500,0.00
1989,6,7,1600,0.00
1989,6,7,1700,0.00
1989,6,7,1800,0.00
1989,6,7,1900,0.00
1989,6,7,2000,0.00
1989,6,7,2100,0.00
1989,6,7,2200,0.00
1989,6,7,2300,0.00
1989,6,7,2400,0.00
1989,6,8,100,0.00
1989,6,8,200,0.00
1989,6,8,300,0.00
1989,6,8,400,0.00
1989,6,8,500,0.00
1989,6,8,600,0.00
1989,6,8,700,0.00
1989,6,8,800,0.00
1989,6,8,900,0.00
1989,6,8,1000,0.00
1989,6,8,1100,0.00
1989,6,8,1200,0.00
1989,6,8,1300,0.00
1989,6,8,1400,0.00
1989,6,8,1500,0.00
1989,6,8,1600,0.00
1989,6,8,1700,0.00
1989,6,8,1800,0.00
1989,6,8,1900,0.00
1989,6,8,2000,0.00
1989,6,8,2100,0.00
1989,6,8,2200,0.00
1989,6,8,2300,0.00
1989,6,8,2400,0.00
1989,6,9,100,0.00
1989,6,9,200,0.00
1989,6,9,300,0.00
1989,6,9,400,0.00
1989,6,9,500,0.00
1989,6,9,600,0.00
1989,6,9,700,0.00
1989,6,9,800,0.00
1989,6,9,900,0.00
1989,6,9,1000,0.00
1989,6,9,1100,0.00
1989,6,9,1200,0.00
1989,6,9,1300,0.00
1989,6,9,1400,0.00
1989,6,9,1500,0.00
1989,6,9,1600,0.00
1989,6,9,1700,0.00
1989,6,9,1800,0.00
1989,6,9,1900,0.00
1989,6,9,2000,0.00
1989,6,9,2100,0.00
1989,6,9,2200,0.00
1989,6,9,2300,0.00
1989,6,9,2400,0.00
1989,6,10,100,0.00
1989,6,10,200,0.00
1989,6,10,300,0.00
1989,6,10,400,0.00
1989,6,10,500,0.00
1989,6,10,600,0.00
1989,6,10,700,0.00
1989,6,10,800,0.00
1989,6,10,900,0.00
1989,6,10,1000,0.00
1989,6,10,1100,0.00
1989,6,10,1200,0.00
1989,6,10,1300,0.00
1989,6,10,1400,0.00
1989,6,10,1500,0.00
1989,6,10,1600,0.00
1989,6,10,1700,0.00
1989,6,10,1800,0.00
1989,6,10,1900,0.00
1989,6,10,2000,0.00
1989,6,10,2100,0.00
1989,6,10,2200,0.00
1989,6,10,2300,0.00
1989,6,10,2400,0.00
1989,6,11,100,0.00
1989,6,11,200,0.00
1989,6,11,300,0.00
1989,6,11,400,0.00
1989,6,11,500,0.00
1989,6,11,600,0.00
1989,6,11,700,0.00
1989,6,11,800,0.00
1989,6,11,900,0.00
1989,6,11,1000,0.00
1989,6,11,1100,0.00
1989,6,11,1200,0.00
1989,6,11,1300,0.00
1989,6,11,1400,0.00
1989,6,11,1500,0.00
1989,6,11,1600,0.00
1989,6,11,1700,0.00
1989,6,11,1800,0.00
1989,6,11,1900,0.00
1989,6,11,2000,0.00
1989,6,11,2100,0.00
1989,6,11,2200,0.00
1989,6,11,2300,0.00
1989,6,11,2400,0.00
1989,6,12,100,0.00
1989,6,12,200,0.00
1989,6,12,300,0.00
1989,6,12,400,0.00
1989,6,12,500,0.00
1989,6,12,600,0.00
1989,6,12,700,0.00
1989,6,12,800,0.00
1989,6,12,900,0.00
1989,6,12,1000,0.00
1989,6,12,1100,0.00
1989,6,12,1200,0.00
1989,6,12,1300,0.00
1989,6,12,1400,0.00
1989,6,12,1500,0.00
1989,6,12,1600,0.00
1989,6,12,1700,0.00
1989,6,12,1800,0.00
1989,6,12,1900,0.00
1989,6,12,2000,0.00
1989,6,12,2100,0.00
1989,6,12,2200,0.00
1989,6,12,2300,0.00
1989,6,12,2400,0.00
1989,6,13,100,0.00
1989,6,13,200,0.00
1989,6,13,300,0.00
1989,6,13,400,0.00
1989,6,13,500,0.00
1989,6,13,600,0.00
1989,6,13,700,0.00
1989,6,13,800,0.00
1989,6,13,900,0.00
1989,6,13,1000,0.00
1989,6,13,1100,0.00
1989,6,13,1200,0.00
1989,6,13,1300,0.00
1989,6,13,1400,0.00
1989,6,13,1500,0.00
1989,6,13,1600,0.00
1989,6,13,1700,0.00
1989,6,13,1800,0.00
1989,6,13,1900,0.00
1989,6,13,2000,0.00
1989,6,13,2100,0.00
1989,6,13,2200,0.00
1989,6,13,2300,0.00
1989,6,13,2400,0.00
1989,6,14,100,0.00
1989,6,14,200,0.00
1989,6,14,300,0.00
1989,6,14,400,0.00
1989,6,14,500,0.00
1989,6,14,600,0.00
1989,6,14,700,0.00
1989,6,14,800,0.00
1989,6,14,900,0.00
1989,6,14,1000,0.00
1989,6,14,1100,0.00
1989,6,14,1200,0.00
1989,6,14,1300,0.00
1989,6,14,1400,0.00
1989,6,14,1500,0.00
1989,6,14,1600,0.00
1989,6,14,1700,0.00
1989,6,14,1800,0.00
1989,6,14,1900,0.00
1989,6,14,2000,0.00
1989,6,14,2100,0.00
1989,6,14,2200,0.00
1989,6,14,2300,0.00
1989,6,14,2400,0.00
1989,6,15,100,0.00
1989,6,15,200,0.00
1989,6,15,300,0.00
1989,6,15,400,0.00
1989,6,15,500,0.00
1989,6,15,600,0.00
1989,6,15,700,0.00
1989,6,15,800,0.00
1989,6,15,900,0.00
1989,6,15,1000,0.00
1989,6,15,1100,0.00
1989,6,15,1200,0.00
1989,6,15,1300,0.00
1989,6,15,1400,0.00
1989,6,15,1500,0.00
1989,6,15,1600,0.00
1989,6,15,1700,0.00
1989,6,15,1800,0.00
1989,6,15,1900,0.00
1989,6,15,2000,0.00
1989,6,15,2100,0.00
1989,6,15,2200,0.00
1989,6,15,2300,0.00
1989,6,15,2400,0.00
1989,6,16,100,0.00
1989,6,16,200,0.00
1989,6,16,300,0.00
1989,6,16,400,0.00
1989,6,16,500,0.00
1989,6,16,600,0.00
1989,6,16,700,0.00
1989,6,16,800,0.00
1989,6,16,900,0.00
1989,6,16,1000,0.00
1989,6,16,1100,0.00
1989,6,16,1200,0.00
1989,6,16,1300,0.00
1989,6,16,1400,0.00
1989,6,16,1500,0.00
1989,6,16,1600,0.00
1989,6,16,1700,0.00
1989,6,16,1800,0.00
1989,6,16,1900,0.00
1989,6,16,2000,0.00
1989,6,16,2100,0.00
1989,6,16,2200,0.00
1989,6,16,2300,0.00
1989,6,16,2400,0.00
1989,6,17,100,0.00
1989,6,17,200,0.00
1989,6,17,300,0.00
1989,6,17,400,0.00
1989,6,17,500,0.00
1989,6,17,600,0.00
1989,6,17,700,0.00
1989,6,17,800,0.00
1989,6,17,900,0.00
1989,6,17,1000,0.00
1989,6,17,1100,0.00
1989,6,17,1200,0.00
1989,6,17,1300,0.00
1989,6,17,1400,0.00
1989,6,17,1500,0.00
1989,6,17,1600,0.00
1989,6,17,1700,0.00
1989,6,17,1800,0.00
1989,6,17,1900,0.00
1989,6,17,2000,0.00
1989,6,17,2100,0.00
1989,6,17,2200,0.00
1989,6,17,2300,0.00
1989,6,17,2400,0.00
1989,6,18,100,0.00
1989,6,18,200,0.00
1989,6,18,300,0.00
1989,6,18,400,0.00
1989,6,18,500,0.00
1989,6,18,600,0.00
1989,6,18,700,0.00
1989,6,18,800,0.00
1989,6,18,900,0.00
1989,6,18,1000,0.00
1989,6,18,1100,0.00
1989,6,18,1200,0.00
1989,6,18,1300,0.00
1989,6,18,1400,0.00
1989,6,18,1500,0.00
1989,6,18,1600,0.00
1989,6,18,1700,0.00
1989,6,18,1800,0.00
1989,6,18,1900,0.00
1989,6,18,2000,0.00
1989,6,18,2100,0.00
1989,6,18,2200,0.00
1989,6,18,2300,0.00
1989,6,18,2400,0.00
1989,6,19,100,0.00
1989,6,19,200,0.00
1989,6,19,300,0.00
1989,6,19,400,0.00
1989,6,19,500,0.00
1989,6,19,600,0.00
1989,6,19,700,0.00
1989,6,19,800,0.00
1989,6,19,900,0.00
1989,6,19,1000,0.00
1989,6,19,1100,0.00
1989,6,19,1200,0.00
1989,6,19,1300,0.00
1989,6,19,1400,0.00
1989,6,19,1500,0.00
1989,6,19,1600,0.00
1989,6,19,1700,0.00
1989,6,19,1800,0.00
1989,6,19,1900,0.00
1989,6,19,2000,0.00
1989,6,19,2100,0.00
1989,6,19,2200,0.00
1989,6,19,2300,0.00
1989,6,19,2400,0.00
1989,6,20,100,0.00
1989,6,20,200,0.00
1989,6,20,300,0.00
1989,6,20,400,0.00
1989,6,20,500,0.00
1989,6,20,600,0.00
1989,6,20,700,0.00
1989,6,20,800,0.00
1989,6,20,900,0.00
1989,6,20,1000,0.00
1989,6,20,1100,0.00
1989,6,20,1200,0.00
1989,6,20,1300,0.00
1989,6,20,1400,0.00
1989,6,20,1500,0.00
1989,6,20,1600,0.00
1989,6,20,1700,0.00
1989,6,20,1800,0.00
1989,6,20,1900,0.00
1989,6,20,2000,0.00
1989,6,20,2100,0.00
1989,6,20,2200,0.00
1989,6,20,2300,0.00
1989,6,20,2400,0.00
1989,6,21,100,0.00
1989,6,21,200,0.00
1989,6,21,300,0.00
1989,6,21,400,0.00
1989,6,21,500,0.00
1989,6,21,600,0.00
1989,6,21,700,0.00
1989,6,21,800,0.00
1989,6,21,900,0.00
