Subclass	Order	Species	BMR_(mlO2/hour)	Body_mass_for_BMR_(gr)	Reference_for_BMR	FMR_(kJ/day)	Body_mass_for_FMR_(gr)	Reference_for_FMR
Eutheria	Afrosoricida	Amblysomus_hottentotus	84.7	70	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Chrysochloris_asiatica	51.48	44	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Echinops_telfairi	133.9	116.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Geogale_aurita	7.728	6.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Hemicentetes_semispinosus	64.1	133	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Limnogale_mergulus	55.9	77.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Microgale_cowani	31.964	12.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Microgale_dobsoni	56.4	44.6	White_et_al06BiolLett	77.1	42.6	Nagy_et_al99
Eutheria	Afrosoricida	Microgale_talazaci	43.56	44	White_et_al06BiolLett	66.5	42.8	Nagy_et_al99
Eutheria	Afrosoricida	Setifer_setosus	121.9	530	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Tenrec_ecaudatus	130.65	650	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Artiodactyla	Alces_alces	51419	325000	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Antidorcas_marsupialis	-9999	-9999	-9999	24100	43300	Nagy_et_al99
Eutheria	Artiodactyla	Antilocapra_americana	9318	37800	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Capreolus_capreolus	8308	21500	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Cervus_elaphus	-9999	-9999	-9999	25000	107000	Haggarty_et_al98
Eutheria	Artiodactyla	Connochaetes_taurinus	41242	196500	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Lama_pacos	-9999	-9999	-9999	14050	48000	Reik_2008
Eutheria	Artiodactyla	Odocoileus_hemionus	-9999	-9999	-9999	18000	39100	Nagy_et_al99
Eutheria	Artiodactyla	Odocoileus_virginianus	25609	58588	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Oryx_leucoryx	-9999	-9999	-9999	16578.5	85250	Anderson_&_Jetz_2005
Eutheria	Artiodactyla	Ovis_canadensis	19120	69125	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Pecari_tajacu	5945	20500	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Rangifer_tarandus	-9999	-9999	-9999	15500	52800	Reik_2008
Eutheria	Carnivora	Acinonyx_jubatus	8982	37900	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Ailurus_fulgens	878.22	5740	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Alopex_lagopus	1374	3600	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Arctictis_binturong	2284.8	14280	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Arctocephalus_galapagoensis	-9999	-9999	-9999	4780	37400	Nagy_et_al99
Eutheria	Carnivora	Arctocephalus_gazella	-9999	-9999	-9999	34600	23000	Nagy_et_al99
Eutheria	Carnivora	Arctogalidia_trivirgata	552.75	2010	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Bassariscus_astutus	-9999	-9999	-9999	472	752	Nagy_et_al99
Eutheria	Carnivora	Bassariscus_sumichrasti	633.6	1280	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Callorhinus_ursinus	-9999	-9999	-9999	36100	51100	Nagy_et_al99
Eutheria	Carnivora	Canis_latrans	2686.57	10000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Canis_lupus	8080	33000	McNab2005ZoolSinica	17700	37300	Nagy_et_al99
Eutheria	Carnivora	Canis_mesomelas	3860	7720	White_et_al06BiolLett	-9999	-9999	-9999
