	AEP	PEP	G1P	G6P	MethCP	BGP	DNA	Peth	Pchol	B1	Phyt	SRP	cAMP	ATP	PhenylCP	PolyP	GDP	GTP
LL1	0.0267933	0.106899331	0.248761663	0.161158946	0	0.199421267	0.053579298	0.005846846	0.001503888	0.248135267	0.247140078	0.196308625	0.206428665	0.252066537	0	0.173057856	0.212195362	0.161364262
LL12	0	0.362450649	0.287588444	0.384741215	0.298204665	0.160673028	0.003703425	0.149392961	0.219754153	0.243002886	0.674099431	0.264117814	0	0.450412678	0.056959699	0.34074296	0.438359856	0.386650238
LL13	0.254736548	0.212144673	0.260953418	0.219281561	0	0.246069238	0.206383491	0.1801415	0.270515256	0.70041864	0.221759213	0.588002445	0.194375543	0.263970304	0	0.222589009	0.252826876	0.243098237
LL14	0.223209357	0.019554986	0.027275085	0.020025358	0	0.032614264	0.198954194	0.015830607	0.038408081	0.020895254	0.031302703	0.034854982	0.025660676	0.048198687	0	0.012141163	0.027136937	0.023584859
LL18	0.006161159	0.076438425	0.082703336	0.06533413	0	0.085458479	0.001631401	0	0	0.080654962	0.05374976	0.069788496	0.067572573	0.068124683	0	0.060060894	0.104637283	0.151503573
LL24	0.085392803	0.031190228	0.036456382	0.04114462	0	0.04634517	0.000390931	0.012016739	0.010144893	0.043455855	0.027149413	0.038925088	0.039181581	0.018324377	0.029623825	0.017861424	0.035490757	0.031198961
LL37	0.207146035	0.189339921	0.246038362	0.212984703	0.003417763	0.180274454	0.054266998	0.026507758	0.008588434	0.29531665	0.043209831	0.183262541	0.172685784	0.164585941	0.004875155	0.178134248	0.226331566	0.166260823
LL4	0	0.045860421	0.054874179	0.057370334	0.001371146	0.053313235	0.005145156	0.002779354	0.003635945	0.08164883	0.03171623	0.04236239	0.026667384	0.041004434	0	0.036093427	0.05192163	0.093222177
LL41A	0	0.010373896	0.01521428	0.009644314	0	0.015017373	0.000503348	9.95E-05	0	0.02226927	0.009498344	0.015770175	0.016150981	0.01294194	0	0.011416333	0.02199697	0.017842839
LL41B	0.002015315	0.00041531	0.002365811	0.000420553	0.002034921	0.001163387	0.000559486	0.000808766	0	0.001606375	0.338298515	0.108840198	0.001591868	0.216534881	0	0.126090084	0.00039671	0.071300649
LL43F	0.03744886	0.041853315	0.037630963	0.042134142	0	0.039450184	0.00622784	0.00373915	0.009411367	0.046749013	0.026962289	0.046415047	0.048506078	0.058455258	1.46E-05	0.052242075	0.060706498	0.052798652
LL46	6.16E-05	0.043511286	0	0.002649947	0.000567841	0	0	0.026723389	0.003146274	0.084614777	0.04191355	0.044072006	0	0.043117655	0	0.043320277	0.046975253	0.0494794
LL5	0.001515206	0.01119774	0.015481158	0.052102078	0.002142297	0.019220799	0.0012805	0.004621514	0	0.018038451	0.009267421	0.013162403	0.014567962	0.012143734	0.001683179	0.0129349	0.014639748	0.012610268
LL8	0	0.303267177	0.389608554	0.361411343	0.173087827	0.26314945	0.10068655	0.102293142	0.231833167	0.301471563	0.348330918	0.167149372	0	0.333862379	0.065751546	0.198817458	0.407251974	0.37508037
LL9	0.002661721	0.026771597	0.00035629	0.000811159	0	0.000309933	0.000345074	0.018425174	0.001491256	0.053704275	0.045923863	0.038856525	0.000406391	0.02672643	0.00132628	0.028687357	0.026922355	0.036977356
LLX12A	0.008812428	0.016766023	0.021137793	0.016664081	0.002380539	0.018522545	0.006954764	0.020606052	0.022597925	0.022550252	0.020047736	0.020495265	0.022850659	0.019022176	0	0.019727617	0.017613224	0.018800779
LLX17	0	0.050215037	0.002548416	0	0	0	0	0.021340284	0	0.108374756	0.041441845	0.05286237	0	0.059718587	0	0.050750409	0.052352662	0.061905297
LLX3	0.080155976	0.054027146	0.064335487	0.054086873	0	0.068945256	0.016246257	0.013323192	0.037090297	0.062546514	0.043075741	0.064585922	0.072589834	0.064241448	0	0.055255137	0.068477253	0.06570489
WG14	0.000855251	0.103066101	0.143318786	0.147483239	0.000683879	0.094235005	0.002104521	0.000133587	0.001117351	0.155852592	0.088589245	0.123392579	0	0.057545637	0	0.099151313	0.101265246	0.062052727
WG16	0	0.110781938	0.111532049	0.115083387	0	0.105533982	0.020060627	0.005273562	0	0.098321584	0.117297019	0.100323325	0.146109882	0.138617862	0.116962989	0.119239313	0.116153029	0.117605095
WG21	0.06780079	0.033472791	0.040886014	0.044933533	0	0.041849909	0.07582559	0.080468662	0.037182104	0.026169105	0.025263248	0.073711222	0.069790562	0.056655467	0	0.03268109	0.044226591	0.039158579
WG22	0.029372727	0.038461382	0.051418691	0.031963821	0.000403914	0.031168835	0.066146247	0.004383572	0.133370097	0.053656506	0.032280579	0.048495914	0.062737013	0.078335252	0	0.047283136	0.040007208	0.045178316
