TANK	NUTS	CAL	DIAP	CYCL	BOSM	SIMO	CERI	NAUP	DLUM	CHYD
5	L	70.5	0.0	66.1	2.2	417.8	159.8	0.0	0.0	266.9
14	L	27.1	19.2	129.6	0.0	0.0	79.4	0.0	0.0	158.7
16	L	5.3	8.8	12.7	0.0	73.1	107.5	1.2	0.0	3158.2
21	L	79.2	17.9	141.3	3.4	0.0	199.0	0.0	0.0	298.5
23	L	31.4	0.0	11.0	0.0	482.0	101.9	0.0	0.0	580.2
25	L	22.7	285.1	153.0	0.0	241.5	135.5	1.2	6.6	262.4
27	L	0.0	2.3	11.0	0.0	73.1	185.0	1.6	0.0	2004.4
34	L	35.7	65.9	102.9	0.0	0.0	318.5	3.1	0.0	1260.7
12	M	74.8	178.7	266.5	0.0	0.0	1.9	0.0	0.0	1190.9
15	M	5.3	4.9	87.8	0.0	1099.2	136.4	1.4	0.0	2939.6
18	M	18.4	2.3	29.4	0.0	393.8	147.6	1.2	0.0	4857.3
22	M	14.0	2.3	37.7	0.0	1251.5	74.8	0.0	0.0	2725.5
28	M	14.0	2.3	132.9	0.0	818.6	98.1	1.2	0.0	814.5
30	M	48.8	2.3	107.9	2.2	9.0	132.7	0.0	0.0	2867.5
35	M	0.0	0.0	17.7	0.0	145.3	19.7	0.0	0.0	4201.6
36	M	292.0	269.5	373.4	10.7	0.0	8.5	1.2	0.0	1456.8
4	H	9.7	0.0	41.1	0.0	2397.8	9.4	0.0	0.0	5697.9
6	H	0.0	2.3	0.0	0.0	225.5	24.3	0.0	0.0	8323.2
10	H	5.3	0.0	86.2	0.0	465.9	527.7	1.2	0.0	3146.9
11	H	14.0	7.5	69.5	0.0	594.2	78.5	0.0	0.0	7629.2
17	H	0.0	24.4	101.2	0.0	313.6	176.6	0.0	0.0	7597.6
19	H	0.0	7.5	253.2	8.3	0.0	112.1	1.6	0.0	2594.8
24	H	5.3	2.3	96.2	0.0	786.6	76.6	0.0	0.0	463.0
29	H	0.0	2.3	66.1	0.0	826.7	85.1	0.0	0.0	5263.0
