"tax.Phylum"	"tax.Class"	"tax.Order"	"tax.Family"	"tax.Genus"	"otu.T1.dry"	"otu.T1.wet"	"otu.T1.dry.1"	"otu.T1.wet.1"	"otu.T1.dry.2"	"otu.T1.wet.2"	"otu.T7.dry"	"otu.T7.wet"	"otu.T7.dry.1"	"otu.T7.wet.1"	"otu.T7.dry.2"	"otu.T7.wet.2"	"otu.DF.dry"	"otu.DF.wet"	"otu.DF.dry.1"	"otu.DF.wet.1"	"otu.DF.dry.2"	"otu.CF.dry"	"otu.CF.wet"	"otu.CF.dry.1"	"otu.CF.wet.1"	"otu.CF.dry.2"	"otu.CF.wet.2"
"Otu0001"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"unclassified"	15	15	16	11	9	12	60	38	26	25	38	32	26	23	21	23	14	61	41	65	37	93	44
"Otu0002"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	49	161	52	138	34	105	3	42	1	29	0	11	4	22	7	16	4	0	6	1	14	4	6
"Otu0003"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"uncultured"	2	3	1	8	6	10	12	10	21	11	14	18	12	39	15	18	7	9	12	35	41	42	27
"Otu0004"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	6	15	4	34	5	11	0	11	3	19	0	12	1	11	2	11	4	0	2	1	13	2	21
"Otu0005"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Nitrosomonadaceae"	"uncultured"	3	14	5	11	5	13	8	9	1	11	5	12	7	7	16	20	14	0	0	0	0	0	1
"Otu0006"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	11	0	14	2	14	12	14	16	32	5	16	12	10	1	2	3	7	0	0	0	0	0	0
"Otu0007"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"uncultured"	2	0	2	1	2	0	7	5	9	11	6	16	10	13	10	4	12	17	6	10	11	6	5
"Otu0008"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	29	2	32	10	58	23	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu0009"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	"uncultured"	5	1	5	2	3	1	16	6	27	5	15	8	2	6	9	2	4	0	3	2	2	0	0
"Otu0010"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	1	9	5	7	9	6	1	18	5	35	2	6	1	3	0	1	14	0	0	0	0	0	0
"Otu0011"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	10	5	4	20	5	12	1	16	0	18	1	9	2	1	1	0	5	0	0	0	0	0	0
