	AEP	PEP	G1P	G6P	MethCP	BGP	DNA	Peth	Pchol	B1	Phyt	SRP	cAMP	ATP	PhenylCP	PolyP	GDP	GTP
LL1	0.106294553	0.424091719	0.986888882	0.639350816	0	0.791145344	0.212560138	0.023195645	0.005966234	0.98440384	0.98045572	0.77879685	0.818945138	1	0	0.686556248	0.841822816	0.640165347
LL12	0	0.537681286	0.426626149	0.570748464	0.442374895	0.238352119	0.005493885	0.221618583	0.325996645	0.360485226	1	0.391808392	0	0.668169497	0.084497474	0.505478783	0.65028961	0.573580425
LL13	0.363691846	0.302882677	0.37256778	0.313072138	0	0.351317375	0.294657337	0.257191185	0.386219384	1	0.316609525	0.839501423	0.277513378	0.376875041	0	0.317794239	0.360965374	0.347075625
LL14	1	0.087608272	0.122195079	0.089715585	0	0.146115129	0.89133447	0.070922685	0.172072002	0.093612805	0.140239206	0.156153767	0.114962367	0.215934886	0	0.054393611	0.121576162	0.105662501
LL18	0.040666757	0.50453216	0.545883733	0.431238212	0	0.564069067	0.010768069	0	0	0.532363431	0.354775527	0.460639275	0.446013065	0.44965727	0	0.396432195	0.690658847	1
LL24	1	0.365255934	0.426925698	0.481827725	0	0.542729227	0.004578032	0.140723089	0.11880267	0.508893648	0.317935611	0.455835698	0.458839383	0.214589244	0.346912432	0.209167791	0.41561766	0.365358202
LL37	0.701437034	0.641142045	0.833134068	0.721207907	0.011573215	0.610444599	0.183758681	0.089760459	0.029082119	1	0.146316948	0.620562847	0.584747877	0.557320222	0.016508229	0.603197442	0.766402998	0.562991701
LL4	0	0.491947544	0.588638678	0.615415085	0.014708367	0.571894336	0.055192403	0.029814301	0.039003005	0.875851998	0.340221941	0.454423951	0.286062661	0.439857074	0	0.387176401	0.556966504	1
LL41A	0	0.465839069	0.683196171	0.433077241	0	0.674354076	0.022602806	0.00446804	0	1	0.426522468	0.708158597	0.725258664	0.581156904	0	0.512649629	0.987772388	0.801231428
LL41B	0.005957209	0.001227644	0.006993265	0.001243142	0.006015164	0.003438936	0.001653823	0.002390687	0	0.004748395	1	0.321728276	0.004705513	0.640070445	0	0.372718408	0.001172663	0.210762524
