Location,Sample_ID,lat,long,Elevation,Diameter,Depth,Cal_Volume,ORP,Temp,SpC,DO,TDS,Salinity,pH,Color,chla,DOC,DON,canopy,TP
BCSP,BC001,39.121528,-86.194583,226,11.5,1,398.1641439,198,19.9,31,2.3,0.02,0.01,6.11,0.0859,86.27,8.746,0.6036,0.1518,598.1020545
BCSP,BC002,39.163583,-86.211806,276,15.5,0.5,974.9081952,144.5,21.61,48,1.89,0.031,0.02,6.39,0.03624922,93.38,10.01,0.3829,0.3226,123.0635415
BCSP,BC003,39.152194,-86.194175,258,15.5,1.3,974.9081952,107.4,21.14,61,0.81,0.04,0.03,6.31,0.0917,131.28,6.817,1.282,0.2085,291.4364115
BCSP,BC004,39.144528,-86.192694,249,13.5,0.75,644.1246688,84.7,22.63,41,1.8,0.026,0.02,6.25,0.0436,88.16,6.97,0.2195,0.506,80.1190005
BCSP,BC005,39.1485,-86.190167,241,7,0.75,89.79719002,91.8,21.74,46,2.75,0.03,0.02,6.17,0.057,110.62,7.836,0.2928,0.1954,81.2540985
BCSP,BC015,39.133194,-86.196833,126,12,1.2,452.3893421,71.3,22.48,61,0.99,0.039,0.03,6.31,0.0543,374.92,6.665,0.2014,0.4956,568.7786895
BCSP,BC016,39.127528,-86.199278,238,11.5,2,398.1641439,252.5,19.73,63,2.04,0.041,0.03,6.5,0.0278,27.38,7.41,0.8582,0.2129,160.26
BCSP,BC018,39.123889,-86.206722,244,11,0.75,348.4549852,185.7,19.33,38,1.53,0.025,0.02,6.31,0.0386,28.39,8.868,0.1879,0.2055,253.7889945
BCSP,BC020,39.127806,-86.209833,248,10,1.5,261.7993878,132,19.45,60,2.13,0.039,0.03,6.6,0.0205,27.58,5.598,1.497,0.1775,76.92
BCSP,BC048,39.132889,-86.275639,246,16,1.5,1072.330292,42,23.7,48,0.27,0.031,0.02,6.34,0.06881364,48.66,9.395,1.024,0.2096,137.87
BCSP,BC049,39.140167,-86.275889,247,16.5,1.75,1176.035575,30,24.4,68,0.44,0.044,0.03,6.47,0.07097846,70.61,9.817,0.638,0.1347,217.63
BCSP,BC051,39.142111,-86.270639,282,22.5,1.75,2982.058652,83,24.14,48,3.55,0.031,0.02,6.66,0.0543508,2399.78,8.655,0.3469,0.1637,549.63
BCSP,BC105,39.135583,-86.265,284,24.5,2,3850.054522,104.4,24.68,55,3.5,0.036,0.02,6.55,0.0481327,109.79,8.718,0.6411,0.1379,156.13
BCSP,BC108,39.133056,-86.257611,285,13.8,1.4,254.1,62.2,22.5,63,0.32,0.041,0.03,6.25,0.06581974,184.47,10.31,1.17,0.132,227.82
BCSP,BC262,39.176139,-86.205722,222,17.5,1.75,1403.081094,133.9,22.64,37,2.47,0.024,0.02,6.41,0.0200361,65.03,7.349,0.4767,0.1951,131.81
