TANK	NUTS	TP	TN	SRP	TIN	CHLA
5	L	15.75	680.5	4.68	135.77	1.19
14	L	25.55	750.5	1.56	141.1	4
16	L	39.11	760.9	2.89	71.28	0.53
21	L	20.09	570.4	5.11	80.4	1.44
23	L	14.22	610.1	4.97	107.7	0.61
25	L	19.55	665.5	5	79.4	0.37
27	L	16.19	660.8	0.1	100.91	0.72
34	L	20.31	720.1	4.02	131.62	1.52
12	M	34.73	1370.1	4.69	420.01	15.99
15	M	35.33	1360.8	5.96	1036.27	2.13
18	M	28.5	1760.4	7.15	1351.83	1.36
22	M	26	2110.3	5.35	1466.7	0.95
28	M	37.88	2590.3	3.92	1163.64	0.94
30	M	29.46	1770.4	7.9	1329.26	6.93
35	M	30.26	2110.9	4.45	1850.18	1.36
36	M	36.94	2060.9	5.14	249.93	38.38
4	H	42.21	3690.4	12.71	3041.75	1.08
6	H	128.04	4750.4	26.27	3686.17	1.27
10	H	53.5	4530.4	33.57	4042.1	0.93
11	H	77.65	4380.6	21.86	3041.75	1.08
17	H	41.56	4130.1	20.34	3421.43	1.44
19	H	52.41	3710.3	3.23	2890.73	17.59
24	H	33.47	3410.4	9.32	2791.52	1.11
29	H	99.07	4410.9	11.57	3307.05	0.61
