Flavor	Mix	Student.ID	Count	Description
Blueberry	None	BlueDrk	174	DarkBlue
Peach	None	OrangeSpe	138	OrangeRedSpeckled
Watermelon	None	Watermellon	114	DarkGreen
Lime	Citrus	GreenTrans	50	Green
Lemon	Citrus	YellowTrans	49	Yellow
Grapefruit	Citrus	OrangeBrgt	32	PaleOrange
SourGrape	Sour	BlueMuted	31	Denim
Tangerine	Citrus	OrangeLight	31	Orange
SourApple	Sour	GreenSoild	29	BrightGreen
SourOrange	Sour	OrangSuperShn	29	Orange
SourCherry	Sour	Red	27	BrightRed
StrawberryBlonde	Ice_Cream	PinkSpot	27	PinkRedSpeckled
BirthdayCakeMix	Ice_Cream	Rainbow	24	WhiteBluePinkSpeckled
JewelBerryBlue	Jewel	AquaSuperShn	23	SkyBlue
SourLemon	Sour	YellowSld	22	BrightYellowRedSpeckled
JewelBubbleGum	Jewel	PinkShn	22	SoftPink
JewelGingerAle	Jewel	OrangeShn	22	Rose
ChocolateDevotion	Ice_Cream	PurpleSpot	17	Brown
MintChocolateChip	Ice_Cream	GreenMintCho	16	MintGreenBrownSpeckled
ApplePie	Ice_Cream	WhiteBrownSP	16	WhiteBrownSpeckled
JewelVeryCherry	Jewel	RedShinny	16	HotPink
JewelBlueberry	Jewel	BlueDrkShn	13	DarkBlue
JewelGrapeSoda	Jewel	PurpleShn	13	Purple
JewelSourApple	Jewel	GreenSuperShn	12	LightGreen
JewelOrange	Jewel	OrangeDrk	11	LightOrange
JewelCreamSoda	Jewel	WhiteSuperShn	9	Ivory
